#59.5409	0.315893932010824	0.0001	0
1173.228	0.0426605431413978	0.003	0
1332.492	0.0385405421779691	0.004	0
#511	0.0748301968215637	0	0
1274.537	0.0342521472479447	0.007	0
121.7817	0.275402542885823	0.0003	0
244.6974	0.172442762535478	0.0008	0
344.279	0.129520307391688	0.001	0
#411.1165	0.10196052471894	0.0012	0
443.965	0.114039808515999	0.003	0
586.265	0.0849004023607198	0.003	0
688.670	0.073764540827561	0.005	0
778.905	0.0629609776461486	0.002	0
867.38	0.0542080929228388	0.003	0
964.079	0.0501817916438606	0.018	0
#1005.27	0.0658407924573338	0.02	0
1085.84	0.0508894773587107	0.01	0
1112.076	0.0468299868349582	0.003	0
1212.95	0.0434041789973993	0.01	0
1299.142	0.0407468968399771	0.008	0
1408.013	0.0379118504138488	0.003	0
1457.64	0.0344744055587429	0.01	0
1528.10	0.0410125088654152	0.02	0
